iter	R2	RMSE
0	0.03976069343	0.3912934673
1	0.0756218501	0.3839173094
2	0.1109078239	0.3765184411
3	0.1439293257	0.3694602057
4	0.176340187	0.3623988377
5	0.2069972172	0.355590552
6	0.2350832754	0.3492367484
7	0.2622449371	0.3429801271
8	0.2880038325	0.3369393127
9	0.3136527202	0.3308147126
10	0.3390473891	0.3246370019
11	0.3636458557	0.318538768
12	0.3854952832	0.3130224368
13	0.4070023433	0.3074959119
14	0.427114966	0.3022362806
15	0.4471687528	0.296899283
16	0.4645518408	0.2921941876
17	0.4816835228	0.2874818065
18	0.4990415392	0.2826270436
19	0.5141844655	0.2783226536
20	0.52962563	0.2738638331
21	0.5441027849	0.2696164135
22	0.557718761	0.2655596676
23	0.5723502369	0.2611301243
24	0.5854145343	0.257110548
25	0.5972163651	0.2534245979
26	0.6091543986	0.2496407462
27	0.6200736873	0.2461288622
28	0.6309765028	0.2425715525
29	0.6419392241	0.2389413053
30	0.6520839382	0.2355320961
31	0.6615830899	0.2322944777
32	0.671071957	0.2290146728
33	0.6799992783	0.2258854911
34	0.6887046387	0.2227917897
35	0.6968223562	0.2198677056
36	0.7053104021	0.216768045
37	0.712561457	0.2140845661
38	0.7192527778	0.2115780409
39	0.7259294265	0.2090470589
40	0.7330609373	0.2063093559
41	0.7389894189	0.204005518
42	0.7444699508	0.2018523672
43	0.7507672035	0.1993496387
44	0.7571719052	0.1967715578
45	0.7623104208	0.1946784719
46	0.7676195539	0.1924919837
47	0.7727395661	0.1903595955
48	0.777870396	0.1881984659
49	0.7825445699	0.1862078502
50	0.7872317495	0.1841900938
51	0.7917412903	0.1822277212
52	0.7954789399	0.1805850839
53	0.7994088141	0.1788416963
54	0.8036863833	0.1769245378
55	0.8072142328	0.1753276217
56	0.8109013711	0.1736429069
57	0.8146321689	0.1719214407
58	0.8178691842	0.1704137267
59	0.8211393792	0.1688768908
60	0.8240874381	0.1674793568
61	0.8270757841	0.1660507208
62	0.8301716038	0.1645576254
63	0.8329229716	0.163219194
64	0.8353368219	0.1620358473
65	0.8377475183	0.160845358
66	0.8402935852	0.1595783748
67	0.8426521617	0.1583956491
68	0.8447989398	0.1573114012
69	0.8472168839	0.1560811798
70	0.8493909315	0.1549667121
71	0.8513709472	0.1539446897
72	0.8533802518	0.1529005657
73	0.8555563899	0.1517616448
74	0.8573140266	0.1508354762
75	0.8591096586	0.1498833766
76	0.8607854617	0.1489893253
77	0.8624106324	0.1481171322
78	0.8639382371	0.1472925919
79	0.8652592444	0.1465758249
80	0.8668136269	0.1457279159
81	0.8682099641	0.1449619912
82	0.869701209	0.1441395131
83	0.8712264306	0.1432934122
84	0.872649274	0.1424995753
85	0.8740488319	0.1417143919
86	0.8754436858	0.1409274948
87	0.8767513341	0.1401857828
88	0.8781646157	0.1393797163
89	0.8795220653	0.1386010801
90	0.8806855161	0.1379302239
91	0.8817851908	0.1372931282
92	0.8829899383	0.1365917477
93	0.8841714623	0.1359003716
94	0.8851688189	0.1353140128
95	0.8862529151	0.134673763
96	0.8873011317	0.1340517954
97	0.8884679238	0.1333560585
98	0.8897085625	0.1326122844
99	0.8906463457	0.1320472946
100	0.8916115542	0.1314632462
101	0.8926692233	0.1308202557
102	0.89351245	0.1303053584
103	0.8945004916	0.1296994324
104	0.8953039422	0.1292046138
105	0.8961793113	0.1286633368
106	0.8972465613	0.1280003155
107	0.898051203	0.127498158
108	0.8989265389	0.1269496262
109	0.8997542194	0.1264287688
110	0.9006023359	0.1258928156
111	0.9015015982	0.1253220382
112	0.9021893948	0.1248837211
113	0.902717905	0.1245458655
114	0.9034642718	0.1240671758
115	0.904034632	0.1237001209
116	0.9046013832	0.1233343066
117	0.9052554235	0.1229107977
118	0.9057644922	0.1225801491
119	0.9061714153	0.122315203
120	0.9066823947	0.1219816912
121	0.9072380477	0.1216179834
122	0.9079511569	0.1211496113
123	0.9086277072	0.120703571
124	0.909030121	0.1204374817
125	0.9095363058	0.1201019384
126	0.9101904308	0.119666934
127	0.910704005	0.119324287
128	0.9111355868	0.1190355811
129	0.9117550289	0.1186199783
130	0.9122639954	0.1182774041
131	0.9128220743	0.1179006293
132	0.9133279856	0.1175580309
133	0.9137007286	0.1173049725
134	0.9141902571	0.116971796
135	0.9144928637	0.1167653643
136	0.9149098541	0.116480303
137	0.9153614187	0.1161708174
138	0.9158493706	0.1158354638
139	0.9162336336	0.1155706873
140	0.916653094	0.1152809638
141	0.9169916036	0.1150466215
142	0.917349729	0.1147981789
143	0.9176904719	0.1145612948
144	0.918040156	0.1143176845
145	0.91829233	0.1141416827
146	0.918586989	0.1139356846
147	0.9189349862	0.1136919167
148	0.9191624277	0.1135323138
149	0.9195213934	0.1132799586
150	0.9199300141	0.1129920098
151	0.92017758	0.1128171964
152	0.9204185813	0.1126467578
153	0.9207218536	0.1124319133
154	0.9210367254	0.1122084163
155	0.9212146737	0.1120819109
156	0.9215131418	0.1118694054
157	0.9217686751	0.1116871478
158	0.9219536504	0.1115550294
159	0.9222343395	0.1113542482
160	0.922596593	0.1110945863
161	0.9228049275	0.1109449777
162	0.9230202385	0.1107901469
163	0.923345703	0.1105556927
164	0.9236950364	0.1103034896
165	0.923913932	0.1101451626
166	0.9241994277	0.1099383209
167	0.9245069238	0.1097151039
168	0.9248484671	0.1094666379
169	0.9250320115	0.1093328796
170	0.9251990176	0.1092110314
171	0.9254664144	0.1090156541
172	0.9256218425	0.1089019273
173	0.9258668815	0.1087223904
174	0.9258910547	0.1087046629
175	0.9261677236	0.1085015612
176	0.9263601077	0.1083601082
177	0.9265929366	0.1081886703
178	0.9268799553	0.1079769564
179	0.9270755159	0.1078324668
180	0.9272724199	0.1076867887
181	0.9275636891	0.1074709331
182	0.9278199188	0.1072806857
183	0.9281106829	0.1070643874
184	0.9283796083	0.1068639452
185	0.9283822899	0.1068619446
186	0.9286153589	0.1066879199
187	0.9287139303	0.1066142346
188	0.9288454855	0.1065158133
189	0.929024723	0.1063815725
190	0.9292711068	0.1061967653
191	0.9295361252	0.105997621
192	0.9298684178	0.1057473946
193	0.9299151051	0.1057121902
194	0.9300559492	0.105605916
195	0.9301918468	0.1055032728
196	0.9303613591	0.1053751003
197	0.9305603245	0.1052244583
198	0.9307958948	0.1050458227
199	0.9309047026	0.1049632097
200	0.9309826384	0.1049039966
201	0.9312608435	0.104692352
202	0.9313862955	0.1045967743
203	0.9316485511	0.1043966878
204	0.9319023267	0.1042027054
205	0.9321868659	0.1039847773
206	0.9324556995	0.1037784576
207	0.9326176836	0.1036539427
208	0.9327965936	0.103516243
209	0.9328622927	0.103465631
210	0.9330489721	0.1033216855
211	0.9330511634	0.1033199946
212	0.933321952	0.1031108332
213	0.9334581275	0.1030054886
214	0.9336119259	0.1028863813
215	0.9337037396	0.1028152115
216	0.9338381677	0.1027109201
217	0.933994086	0.1025898234
218	0.9341181589	0.1024933578
219	0.9341537726	0.1024656516
220	0.9343657404	0.1023005934
221	0.9344550011	0.1022310068
222	0.9346173172	0.1021043455
223	0.9348047803	0.1019578654
224	0.9349992514	0.1018056865
225	0.9350170526	0.1017917452
226	0.9351789501	0.101664865
227	0.9352521494	0.1016074461
228	0.9354811566	0.1014275988
229	0.9356263739	0.1013133893
230	0.9357516007	0.1012147982
231	0.9358635422	0.1011265853
232	0.9358652102	0.1011252703
233	0.9359717198	0.1010412653
234	0.936220477	0.1008447959
235	0.9363114022	0.1007728871
236	0.9364655277	0.1006508788
237	0.936475876	0.1006426816
238	0.9366354425	0.1005161998
239	0.9366713169	0.1004877417
240	0.9368645822	0.1003342912
241	0.9370443636	0.1001913358
242	0.9372024895	0.1000654312
243	0.9373135448	0.09997691089
244	0.9374120158	0.0998983557
245	0.9374987977	0.09982907415
246	0.9375765659	0.0997669478
247	0.9376257322	0.09972765058
248	0.9376318661	0.09972274683
249	0.9378443942	0.09955269229
250	0.9380322387	0.09940214614
251	0.9381682691	0.0992929834
252	0.9383222891	0.09916923914
253	0.9384251099	0.09908654385
254	0.9385451267	0.09898993099
255	0.9386154163	0.09893330442
256	0.9386520441	0.09890378362
257	0.9387124403	0.09885508689
258	0.9388755246	0.09872347412
259	0.9389714742	0.09864595856
260	0.9391027053	0.09853984106
261	0.9391826974	0.09847510096
262	0.9393397977	0.09834783065
263	0.9394505067	0.09825804392
264	0.9396661457	0.0980829214
265	0.9398218482	0.09795627923
266	0.9399917248	0.09781792134
267	0.9401500868	0.09768876521
268	0.940230896	0.09762279339
269	0.9402935431	0.09757161823
270	0.9404415669	0.0974505937
271	0.9405401902	0.09736987564
272	0.9406457225	0.0972834288
273	0.940743225	0.09720349118
274	0.9408749713	0.09709537419
275	0.9410113905	0.09698329547
276	0.9410287044	0.09696906151
277	0.9410460903	0.09695476626
278	0.9410621618	0.09694154988
279	0.9411516457	0.09686792988
280	0.9412388481	0.09679613305
281	0.9412518734	0.09678540432
282	0.9413839513	0.09667654635
283	0.9415134554	0.09656969049
284	0.9416850852	0.09642789365
285	0.9417332731	0.09638804441
286	0.9417524116	0.09637221312
287	0.9417737845	0.09635453045
288	0.9418018061	0.09633134215
289	0.9419932526	0.09617276773
290	0.9420804912	0.09610042151
