iter	Passed	Remaining
0	63	63444
1	69	34495
2	74	24847
3	80	20164
4	86	17127
5	92	15384
6	98	13966
7	104	12993
8	110	12216
9	116	11518
10	121	10937
11	127	10485
12	132	10083
13	137	9699
14	142	9369
15	148	9117
16	153	8901
17	160	8728
18	164	8518
19	169	8316
20	176	8221
21	183	8151
22	189	8062
23	195	7945
24	200	7826
25	205	7714
26	211	7636
27	218	7569
28	223	7498
29	229	7429
30	236	7382
31	242	7329
32	248	7274
33	253	7194
34	259	7149
35	265	7098
36	270	7027
37	274	6942
38	282	6972
39	288	6926
40	294	6878
41	299	6831
42	306	6826
43	312	6792
44	318	6754
45	323	6718
46	329	6672
47	334	6638
48	339	6589
49	345	6563
50	350	6515
51	355	6480
52	361	6453
53	366	6425
54	371	6382
55	376	6342
56	381	6316
57	387	6290
58	393	6268
59	399	6251
60	404	6228
61	411	6219
62	415	6182
63	423	6195
64	428	6170
65	434	6150
66	440	6132
67	446	6126
68	452	6106
69	457	6072
70	462	6045
71	469	6045
72	475	6033
73	480	6008
74	485	5985
75	490	5968
76	496	5948
77	501	5930
78	506	5902
79	512	5888
80	517	5869
81	522	5852
82	527	5832
83	533	5816
84	538	5796
85	543	5778
86	550	5774
87	556	5768
88	562	5760
89	567	5739
90	572	5715
91	577	5694
92	582	5683
93	588	5672
94	595	5668
95	601	5666
96	607	5656
97	612	5639
98	618	5630
99	624	5619
100	629	5601
101	634	5581
102	638	5564
103	643	5541
104	648	5527
105	654	5515
106	660	5512
107	666	5505
108	671	5492
109	676	5476
110	682	5464
111	687	5451
112	693	5441
113	699	5432
114	704	5418
115	709	5408
116	715	5399
117	720	5387
118	726	5375
119	732	5372
120	738	5361
121	743	5351
122	748	5336
123	752	5319
124	759	5317
125	764	5305
126	769	5287
127	774	5274
128	779	5265
129	785	5255
130	790	5247
131	795	5232
132	800	5220
133	806	5213
134	812	5202
135	819	5207
136	826	5208
137	833	5203
138	837	5189
139	843	5179
140	848	5169
141	854	5165
142	860	5154
143	865	5146
144	870	5135
145	876	5127
146	882	5122
147	888	5114
148	894	5107
149	900	5100
150	905	5092
151	910	5080
